externalId;name;reference;description;unit;defaultPrice;initialStock;reorderPoint;targetStock
ART-0001;Tuyau PVC 1;REF-0001;;mètre;2.37;1;0;5
ART-0002;Vis inox 2;REF-0002;;kg;2.74;2;0;5
ART-0003;Cable électrique 3;REF-0003;;litre;3.11;3;0;5
ART-0004;Joint torique 4;REF-0004;;boîte;3.48;4;0;5
ART-0005;Robinet thermostatique 5;REF-0005;Description article 5;unité;3.85;5;1;6
ART-0006;Collier de serrage 6;REF-0006;;mètre;4.22;6;1;6
ART-0007;Isolant laine 7;REF-0007;;kg;4.59;7;1;7
ART-0008;Peinture acrylique 8;REF-0008;;litre;4.96;8;1;8
ART-0009;Mastic 9;REF-0009;;boîte;5.33;9;1;9
ART-0010;Joint silicone 10;REF-0010;Description article 10;unité;5.70;10;2;10
ART-0011;Tuyau PVC 11;REF-0011;;mètre;6.07;11;2;11
ART-0012;Vis inox 12;REF-0012;;kg;6.44;12;2;12
ART-0013;Cable électrique 13;REF-0013;;litre;6.81;13;2;13
ART-0014;Joint torique 14;REF-0014;;boîte;7.18;14;2;14
ART-0015;Robinet thermostatique 15;REF-0015;Description article 15;unité;7.55;15;3;15
ART-0016;Collier de serrage 16;REF-0016;;mètre;7.92;16;3;16
ART-0017;Isolant laine 17;REF-0017;;kg;8.29;17;3;17
ART-0018;Peinture acrylique 18;REF-0018;;litre;8.66;18;3;18
ART-0019;Mastic 19;REF-0019;;boîte;9.03;19;3;19
ART-0020;Joint silicone 20;REF-0020;Description article 20;unité;9.40;20;4;20
ART-0021;Tuyau PVC 21;REF-0021;;mètre;9.77;21;4;21
ART-0022;Vis inox 22;REF-0022;;kg;10.14;22;4;22
ART-0023;Cable électrique 23;REF-0023;;litre;10.51;23;4;23
ART-0024;Joint torique 24;REF-0024;;boîte;10.88;24;4;24
ART-0025;Robinet thermostatique 25;REF-0025;Description article 25;unité;11.25;25;5;25
ART-0026;Collier de serrage 26;REF-0026;;mètre;11.62;26;5;26
ART-0027;Isolant laine 27;REF-0027;;kg;11.99;27;5;27
ART-0028;Peinture acrylique 28;REF-0028;;litre;12.36;28;5;28
ART-0029;Mastic 29;REF-0029;;boîte;12.73;29;5;29
ART-0030;Joint silicone 30;REF-0030;Description article 30;unité;13.10;30;6;30
ART-0031;Tuyau PVC 31;REF-0031;;mètre;13.47;31;6;31
ART-0032;Vis inox 32;REF-0032;;kg;13.84;32;6;32
ART-0033;Cable électrique 33;REF-0033;;litre;14.21;33;6;33
ART-0034;Joint torique 34;REF-0034;;boîte;14.58;34;6;34
ART-0035;Robinet thermostatique 35;REF-0035;Description article 35;unité;14.95;35;7;35
ART-0036;Collier de serrage 36;REF-0036;;mètre;15.32;36;7;36
ART-0037;Isolant laine 37;REF-0037;;kg;15.69;37;7;37
ART-0038;Peinture acrylique 38;REF-0038;;litre;16.06;38;7;38
ART-0039;Mastic 39;REF-0039;;boîte;16.43;39;7;39
ART-0040;Joint silicone 40;REF-0040;Description article 40;unité;16.80;40;8;40
ART-0041;Tuyau PVC 41;REF-0041;;mètre;17.17;41;8;41
ART-0042;Vis inox 42;REF-0042;;kg;17.54;42;8;42
ART-0043;Cable électrique 43;REF-0043;;litre;17.91;43;8;43
ART-0044;Joint torique 44;REF-0044;;boîte;18.28;44;8;44
ART-0045;Robinet thermostatique 45;REF-0045;Description article 45;unité;18.65;45;9;45
ART-0046;Collier de serrage 46;REF-0046;;mètre;19.02;46;9;46
ART-0047;Isolant laine 47;REF-0047;;kg;19.39;47;9;47
ART-0048;Peinture acrylique 48;REF-0048;;litre;19.76;48;9;48
ART-0049;Mastic 49;REF-0049;;boîte;20.13;49;9;49
ART-0050;Joint silicone 50;REF-0050;Description article 50;unité;2.00;50;10;50
ART-0051;Tuyau PVC 51;REF-0051;;mètre;2.37;51;10;51
ART-0052;Vis inox 52;REF-0052;;kg;2.74;52;10;52
ART-0053;Cable électrique 53;REF-0053;;litre;3.11;53;10;53
ART-0054;Joint torique 54;REF-0054;;boîte;3.48;54;10;54
ART-0055;Robinet thermostatique 55;REF-0055;Description article 55;unité;3.85;55;11;55
ART-0056;Collier de serrage 56;REF-0056;;mètre;4.22;56;11;56
ART-0057;Isolant laine 57;REF-0057;;kg;4.59;57;11;57
ART-0058;Peinture acrylique 58;REF-0058;;litre;4.96;58;11;58
ART-0059;Mastic 59;REF-0059;;boîte;5.33;59;11;59
ART-0060;Joint silicone 60;REF-0060;Description article 60;unité;5.70;60;12;60
ART-0061;Tuyau PVC 61;REF-0061;;mètre;6.07;61;12;61
ART-0062;Vis inox 62;REF-0062;;kg;6.44;62;12;62
ART-0063;Cable électrique 63;REF-0063;;litre;6.81;63;12;63
ART-0064;Joint torique 64;REF-0064;;boîte;7.18;64;12;64
ART-0065;Robinet thermostatique 65;REF-0065;Description article 65;unité;7.55;65;13;65
ART-0066;Collier de serrage 66;REF-0066;;mètre;7.92;66;13;66
ART-0067;Isolant laine 67;REF-0067;;kg;8.29;67;13;67
ART-0068;Peinture acrylique 68;REF-0068;;litre;8.66;68;13;68
ART-0069;Mastic 69;REF-0069;;boîte;9.03;69;13;69
ART-0070;Joint silicone 70;REF-0070;Description article 70;unité;9.40;70;14;70
ART-0071;Tuyau PVC 71;REF-0071;;mètre;9.77;71;14;71
ART-0072;Vis inox 72;REF-0072;;kg;10.14;72;14;72
ART-0073;Cable électrique 73;REF-0073;;litre;10.51;73;14;73
ART-0074;Joint torique 74;REF-0074;;boîte;10.88;74;14;74
ART-0075;Robinet thermostatique 75;REF-0075;Description article 75;unité;11.25;75;15;75
ART-0076;Collier de serrage 76;REF-0076;;mètre;11.62;76;15;76
ART-0077;Isolant laine 77;REF-0077;;kg;11.99;77;15;77
ART-0078;Peinture acrylique 78;REF-0078;;litre;12.36;78;15;78
ART-0079;Mastic 79;REF-0079;;boîte;12.73;79;15;79
ART-0080;Joint silicone 80;REF-0080;Description article 80;unité;13.10;80;16;80
ART-0081;Tuyau PVC 81;REF-0081;;mètre;13.47;81;16;81
ART-0082;Vis inox 82;REF-0082;;kg;13.84;82;16;82
ART-0083;Cable électrique 83;REF-0083;;litre;14.21;83;16;83
ART-0084;Joint torique 84;REF-0084;;boîte;14.58;84;16;84
ART-0085;Robinet thermostatique 85;REF-0085;Description article 85;unité;14.95;85;17;85
ART-0086;Collier de serrage 86;REF-0086;;mètre;15.32;86;17;86
ART-0087;Isolant laine 87;REF-0087;;kg;15.69;87;17;87
ART-0088;Peinture acrylique 88;REF-0088;;litre;16.06;88;17;88
ART-0089;Mastic 89;REF-0089;;boîte;16.43;89;17;89
ART-0090;Joint silicone 90;REF-0090;Description article 90;unité;16.80;90;18;90
ART-0091;Tuyau PVC 91;REF-0091;;mètre;17.17;91;18;91
ART-0092;Vis inox 92;REF-0092;;kg;17.54;92;18;92
ART-0093;Cable électrique 93;REF-0093;;litre;17.91;93;18;93
ART-0094;Joint torique 94;REF-0094;;boîte;18.28;94;18;94
ART-0095;Robinet thermostatique 95;REF-0095;Description article 95;unité;18.65;95;19;95
ART-0096;Collier de serrage 96;REF-0096;;mètre;19.02;96;19;96
ART-0097;Isolant laine 97;REF-0097;;kg;19.39;97;19;97
ART-0098;Peinture acrylique 98;REF-0098;;litre;19.76;98;19;98
ART-0099;Mastic 99;REF-0099;;boîte;20.13;99;19;99
ART-0100;Joint silicone 100;REF-0100;Description article 100;unité;2.00;100;20;100
ART-0101;Tuyau PVC 101;REF-0101;;mètre;2.37;101;20;101
ART-0102;Vis inox 102;REF-0102;;kg;2.74;102;20;102
ART-0103;Cable électrique 103;REF-0103;;litre;3.11;103;20;103
ART-0104;Joint torique 104;REF-0104;;boîte;3.48;104;20;104
ART-0105;Robinet thermostatique 105;REF-0105;Description article 105;unité;3.85;105;20;105
ART-0106;Collier de serrage 106;REF-0106;;mètre;4.22;106;20;106
ART-0107;Isolant laine 107;REF-0107;;kg;4.59;107;20;107
ART-0108;Peinture acrylique 108;REF-0108;;litre;4.96;108;20;108
ART-0109;Mastic 109;REF-0109;;boîte;5.33;109;20;109
ART-0110;Joint silicone 110;REF-0110;Description article 110;unité;5.70;110;20;110
ART-0111;Tuyau PVC 111;REF-0111;;mètre;6.07;111;20;111
ART-0112;Vis inox 112;REF-0112;;kg;6.44;112;20;112
ART-0113;Cable électrique 113;REF-0113;;litre;6.81;113;20;113
ART-0114;Joint torique 114;REF-0114;;boîte;7.18;114;20;114
ART-0115;Robinet thermostatique 115;REF-0115;Description article 115;unité;7.55;115;20;115
ART-0116;Collier de serrage 116;REF-0116;;mètre;7.92;116;20;116
ART-0117;Isolant laine 117;REF-0117;;kg;8.29;117;20;117
ART-0118;Peinture acrylique 118;REF-0118;;litre;8.66;118;20;118
ART-0119;Mastic 119;REF-0119;;boîte;9.03;119;20;119
ART-0120;Joint silicone 120;REF-0120;Description article 120;unité;9.40;120;20;120
ART-0121;Tuyau PVC 121;REF-0121;;mètre;9.77;121;20;121
ART-0122;Vis inox 122;REF-0122;;kg;10.14;122;20;122
ART-0123;Cable électrique 123;REF-0123;;litre;10.51;123;20;123
ART-0124;Joint torique 124;REF-0124;;boîte;10.88;124;20;124
ART-0125;Robinet thermostatique 125;REF-0125;Description article 125;unité;11.25;125;20;125
ART-0126;Collier de serrage 126;REF-0126;;mètre;11.62;126;20;126
ART-0127;Isolant laine 127;REF-0127;;kg;11.99;127;20;127
ART-0128;Peinture acrylique 128;REF-0128;;litre;12.36;128;20;128
ART-0129;Mastic 129;REF-0129;;boîte;12.73;129;20;129
ART-0130;Joint silicone 130;REF-0130;Description article 130;unité;13.10;130;20;130
ART-0131;Tuyau PVC 131;REF-0131;;mètre;13.47;131;20;131
ART-0132;Vis inox 132;REF-0132;;kg;13.84;132;20;132
ART-0133;Cable électrique 133;REF-0133;;litre;14.21;133;20;133
ART-0134;Joint torique 134;REF-0134;;boîte;14.58;134;20;134
ART-0135;Robinet thermostatique 135;REF-0135;Description article 135;unité;14.95;135;20;135
ART-0136;Collier de serrage 136;REF-0136;;mètre;15.32;136;20;136
ART-0137;Isolant laine 137;REF-0137;;kg;15.69;137;20;137
ART-0138;Peinture acrylique 138;REF-0138;;litre;16.06;138;20;138
ART-0139;Mastic 139;REF-0139;;boîte;16.43;139;20;139
ART-0140;Joint silicone 140;REF-0140;Description article 140;unité;16.80;140;20;140
ART-0141;Tuyau PVC 141;REF-0141;;mètre;17.17;141;20;141
ART-0142;Vis inox 142;REF-0142;;kg;17.54;142;20;142
ART-0143;Cable électrique 143;REF-0143;;litre;17.91;143;20;143
ART-0144;Joint torique 144;REF-0144;;boîte;18.28;144;20;144
ART-0145;Robinet thermostatique 145;REF-0145;Description article 145;unité;18.65;145;20;145
ART-0146;Collier de serrage 146;REF-0146;;mètre;19.02;146;20;146
ART-0147;Isolant laine 147;REF-0147;;kg;19.39;147;20;147
ART-0148;Peinture acrylique 148;REF-0148;;litre;19.76;148;20;148
ART-0149;Mastic 149;REF-0149;;boîte;20.13;149;20;149
ART-0150;Joint silicone 150;REF-0150;Description article 150;unité;2.00;150;20;150
ART-0151;Tuyau PVC 151;REF-0151;;mètre;2.37;151;20;151
ART-0152;Vis inox 152;REF-0152;;kg;2.74;152;20;152
ART-0153;Cable électrique 153;REF-0153;;litre;3.11;153;20;153
ART-0154;Joint torique 154;REF-0154;;boîte;3.48;154;20;154
ART-0155;Robinet thermostatique 155;REF-0155;Description article 155;unité;3.85;155;20;155
ART-0156;Collier de serrage 156;REF-0156;;mètre;4.22;156;20;156
ART-0157;Isolant laine 157;REF-0157;;kg;4.59;157;20;157
ART-0158;Peinture acrylique 158;REF-0158;;litre;4.96;158;20;158
ART-0159;Mastic 159;REF-0159;;boîte;5.33;159;20;159
ART-0160;Joint silicone 160;REF-0160;Description article 160;unité;5.70;160;20;160
ART-0161;Tuyau PVC 161;REF-0161;;mètre;6.07;161;20;161
ART-0162;Vis inox 162;REF-0162;;kg;6.44;162;20;162
ART-0163;Cable électrique 163;REF-0163;;litre;6.81;163;20;163
ART-0164;Joint torique 164;REF-0164;;boîte;7.18;164;20;164
ART-0165;Robinet thermostatique 165;REF-0165;Description article 165;unité;7.55;165;20;165
ART-0166;Collier de serrage 166;REF-0166;;mètre;7.92;166;20;166
ART-0167;Isolant laine 167;REF-0167;;kg;8.29;167;20;167
ART-0168;Peinture acrylique 168;REF-0168;;litre;8.66;168;20;168
ART-0169;Mastic 169;REF-0169;;boîte;9.03;169;20;169
ART-0170;Joint silicone 170;REF-0170;Description article 170;unité;9.40;170;20;170
ART-0171;Tuyau PVC 171;REF-0171;;mètre;9.77;171;20;171
ART-0172;Vis inox 172;REF-0172;;kg;10.14;172;20;172
ART-0173;Cable électrique 173;REF-0173;;litre;10.51;173;20;173
ART-0174;Joint torique 174;REF-0174;;boîte;10.88;174;20;174
ART-0175;Robinet thermostatique 175;REF-0175;Description article 175;unité;11.25;175;20;175
ART-0176;Collier de serrage 176;REF-0176;;mètre;11.62;176;20;176
ART-0177;Isolant laine 177;REF-0177;;kg;11.99;177;20;177
ART-0178;Peinture acrylique 178;REF-0178;;litre;12.36;178;20;178
ART-0179;Mastic 179;REF-0179;;boîte;12.73;179;20;179
ART-0180;Joint silicone 180;REF-0180;Description article 180;unité;13.10;180;20;180
ART-0181;Tuyau PVC 181;REF-0181;;mètre;13.47;181;20;181
ART-0182;Vis inox 182;REF-0182;;kg;13.84;182;20;182
ART-0183;Cable électrique 183;REF-0183;;litre;14.21;183;20;183
ART-0184;Joint torique 184;REF-0184;;boîte;14.58;184;20;184
ART-0185;Robinet thermostatique 185;REF-0185;Description article 185;unité;14.95;185;20;185
ART-0186;Collier de serrage 186;REF-0186;;mètre;15.32;186;20;186
ART-0187;Isolant laine 187;REF-0187;;kg;15.69;187;20;187
ART-0188;Peinture acrylique 188;REF-0188;;litre;16.06;188;20;188
ART-0189;Mastic 189;REF-0189;;boîte;16.43;189;20;189
ART-0190;Joint silicone 190;REF-0190;Description article 190;unité;16.80;190;20;190
ART-0191;Tuyau PVC 191;REF-0191;;mètre;17.17;191;20;191
ART-0192;Vis inox 192;REF-0192;;kg;17.54;192;20;192
ART-0193;Cable électrique 193;REF-0193;;litre;17.91;193;20;193
ART-0194;Joint torique 194;REF-0194;;boîte;18.28;194;20;194
ART-0195;Robinet thermostatique 195;REF-0195;Description article 195;unité;18.65;195;20;195
ART-0196;Collier de serrage 196;REF-0196;;mètre;19.02;196;20;196
ART-0197;Isolant laine 197;REF-0197;;kg;19.39;197;20;197
ART-0198;Peinture acrylique 198;REF-0198;;litre;19.76;198;20;198
ART-0199;Mastic 199;REF-0199;;boîte;20.13;199;20;199
ART-0200;Joint silicone 200;REF-0200;Description article 200;unité;2.00;0;0;5
ART-0201;Tuyau PVC 201;REF-0201;;mètre;2.37;1;0;5
ART-0202;Vis inox 202;REF-0202;;kg;2.74;2;0;5
ART-0203;Cable électrique 203;REF-0203;;litre;3.11;3;0;5
ART-0204;Joint torique 204;REF-0204;;boîte;3.48;4;0;5
ART-0205;Robinet thermostatique 205;REF-0205;Description article 205;unité;3.85;5;1;6
ART-0206;Collier de serrage 206;REF-0206;;mètre;4.22;6;1;6
ART-0207;Isolant laine 207;REF-0207;;kg;4.59;7;1;7
ART-0208;Peinture acrylique 208;REF-0208;;litre;4.96;8;1;8
ART-0209;Mastic 209;REF-0209;;boîte;5.33;9;1;9
ART-0210;Joint silicone 210;REF-0210;Description article 210;unité;5.70;10;2;10
ART-0211;Tuyau PVC 211;REF-0211;;mètre;6.07;11;2;11
ART-0212;Vis inox 212;REF-0212;;kg;6.44;12;2;12
ART-0213;Cable électrique 213;REF-0213;;litre;6.81;13;2;13
ART-0214;Joint torique 214;REF-0214;;boîte;7.18;14;2;14
ART-0215;Robinet thermostatique 215;REF-0215;Description article 215;unité;7.55;15;3;15
ART-0216;Collier de serrage 216;REF-0216;;mètre;7.92;16;3;16
ART-0217;Isolant laine 217;REF-0217;;kg;8.29;17;3;17
ART-0218;Peinture acrylique 218;REF-0218;;litre;8.66;18;3;18
ART-0219;Mastic 219;REF-0219;;boîte;9.03;19;3;19
ART-0220;Joint silicone 220;REF-0220;Description article 220;unité;9.40;20;4;20
ART-0221;Tuyau PVC 221;REF-0221;;mètre;9.77;21;4;21
ART-0222;Vis inox 222;REF-0222;;kg;10.14;22;4;22
ART-0223;Cable électrique 223;REF-0223;;litre;10.51;23;4;23
ART-0224;Joint torique 224;REF-0224;;boîte;10.88;24;4;24
ART-0225;Robinet thermostatique 225;REF-0225;Description article 225;unité;11.25;25;5;25
ART-0226;Collier de serrage 226;REF-0226;;mètre;11.62;26;5;26
ART-0227;Isolant laine 227;REF-0227;;kg;11.99;27;5;27
ART-0228;Peinture acrylique 228;REF-0228;;litre;12.36;28;5;28
ART-0229;Mastic 229;REF-0229;;boîte;12.73;29;5;29
ART-0230;Joint silicone 230;REF-0230;Description article 230;unité;13.10;30;6;30
ART-0231;Tuyau PVC 231;REF-0231;;mètre;13.47;31;6;31
ART-0232;Vis inox 232;REF-0232;;kg;13.84;32;6;32
ART-0233;Cable électrique 233;REF-0233;;litre;14.21;33;6;33
ART-0234;Joint torique 234;REF-0234;;boîte;14.58;34;6;34
ART-0235;Robinet thermostatique 235;REF-0235;Description article 235;unité;14.95;35;7;35
ART-0236;Collier de serrage 236;REF-0236;;mètre;15.32;36;7;36
ART-0237;Isolant laine 237;REF-0237;;kg;15.69;37;7;37
ART-0238;Peinture acrylique 238;REF-0238;;litre;16.06;38;7;38
ART-0239;Mastic 239;REF-0239;;boîte;16.43;39;7;39
ART-0240;Joint silicone 240;REF-0240;Description article 240;unité;16.80;40;8;40
ART-0241;Tuyau PVC 241;REF-0241;;mètre;17.17;41;8;41
ART-0242;Vis inox 242;REF-0242;;kg;17.54;42;8;42
ART-0243;Cable électrique 243;REF-0243;;litre;17.91;43;8;43
ART-0244;Joint torique 244;REF-0244;;boîte;18.28;44;8;44
ART-0245;Robinet thermostatique 245;REF-0245;Description article 245;unité;18.65;45;9;45
ART-0246;Collier de serrage 246;REF-0246;;mètre;19.02;46;9;46
ART-0247;Isolant laine 247;REF-0247;;kg;19.39;47;9;47
ART-0248;Peinture acrylique 248;REF-0248;;litre;19.76;48;9;48
ART-0249;Mastic 249;REF-0249;;boîte;20.13;49;9;49
ART-0250;Joint silicone 250;REF-0250;Description article 250;unité;2.00;50;10;50
ART-0251;Tuyau PVC 251;REF-0251;;mètre;2.37;51;10;51
ART-0252;Vis inox 252;REF-0252;;kg;2.74;52;10;52
ART-0253;Cable électrique 253;REF-0253;;litre;3.11;53;10;53
ART-0254;Joint torique 254;REF-0254;;boîte;3.48;54;10;54
ART-0255;Robinet thermostatique 255;REF-0255;Description article 255;unité;3.85;55;11;55
ART-0256;Collier de serrage 256;REF-0256;;mètre;4.22;56;11;56
ART-0257;Isolant laine 257;REF-0257;;kg;4.59;57;11;57
ART-0258;Peinture acrylique 258;REF-0258;;litre;4.96;58;11;58
ART-0259;Mastic 259;REF-0259;;boîte;5.33;59;11;59
ART-0260;Joint silicone 260;REF-0260;Description article 260;unité;5.70;60;12;60
ART-0261;Tuyau PVC 261;REF-0261;;mètre;6.07;61;12;61
ART-0262;Vis inox 262;REF-0262;;kg;6.44;62;12;62
ART-0263;Cable électrique 263;REF-0263;;litre;6.81;63;12;63
ART-0264;Joint torique 264;REF-0264;;boîte;7.18;64;12;64
ART-0265;Robinet thermostatique 265;REF-0265;Description article 265;unité;7.55;65;13;65
ART-0266;Collier de serrage 266;REF-0266;;mètre;7.92;66;13;66
ART-0267;Isolant laine 267;REF-0267;;kg;8.29;67;13;67
ART-0268;Peinture acrylique 268;REF-0268;;litre;8.66;68;13;68
ART-0269;Mastic 269;REF-0269;;boîte;9.03;69;13;69
ART-0270;Joint silicone 270;REF-0270;Description article 270;unité;9.40;70;14;70
ART-0271;Tuyau PVC 271;REF-0271;;mètre;9.77;71;14;71
ART-0272;Vis inox 272;REF-0272;;kg;10.14;72;14;72
ART-0273;Cable électrique 273;REF-0273;;litre;10.51;73;14;73
ART-0274;Joint torique 274;REF-0274;;boîte;10.88;74;14;74
ART-0275;Robinet thermostatique 275;REF-0275;Description article 275;unité;11.25;75;15;75
ART-0276;Collier de serrage 276;REF-0276;;mètre;11.62;76;15;76
ART-0277;Isolant laine 277;REF-0277;;kg;11.99;77;15;77
ART-0278;Peinture acrylique 278;REF-0278;;litre;12.36;78;15;78
ART-0279;Mastic 279;REF-0279;;boîte;12.73;79;15;79
ART-0280;Joint silicone 280;REF-0280;Description article 280;unité;13.10;80;16;80
ART-0281;Tuyau PVC 281;REF-0281;;mètre;13.47;81;16;81
ART-0282;Vis inox 282;REF-0282;;kg;13.84;82;16;82
ART-0283;Cable électrique 283;REF-0283;;litre;14.21;83;16;83
ART-0284;Joint torique 284;REF-0284;;boîte;14.58;84;16;84
ART-0285;Robinet thermostatique 285;REF-0285;Description article 285;unité;14.95;85;17;85
ART-0286;Collier de serrage 286;REF-0286;;mètre;15.32;86;17;86
ART-0287;Isolant laine 287;REF-0287;;kg;15.69;87;17;87
ART-0288;Peinture acrylique 288;REF-0288;;litre;16.06;88;17;88
ART-0289;Mastic 289;REF-0289;;boîte;16.43;89;17;89
