externalId;reference;description;status;priority;dueDate;customerExternalId;orderGiverExternalId;siteExternalId;tags
DOS-0001;AFF-0001;;open;medium;;CLI-0001;DO-0001;SITE-0001;
DOS-0002;AFF-0002;;in_progress;medium;;CLI-0002;DO-0002;SITE-0002;import
DOS-0003;AFF-0003;;open;high;;CLI-0003;DO-0003;SITE-0003;
DOS-0004;AFF-0004;;in_progress;medium;;CLI-0004;DO-0004;SITE-0004;import
DOS-0005;AFF-0005;;open;medium;;CLI-0005;DO-0005;SITE-0005;
DOS-0006;AFF-0006;;in_progress;high;;CLI-0006;DO-0006;SITE-0006;import
DOS-0007;AFF-0007;;open;medium;;CLI-0007;DO-0007;SITE-0007;
DOS-0008;AFF-0008;;in_progress;medium;;CLI-0008;DO-0008;SITE-0008;import
DOS-0009;AFF-0009;;open;high;;CLI-0009;DO-0009;SITE-0009;
DOS-0010;AFF-0010;;in_progress;medium;;CLI-0010;DO-0010;SITE-0010;import
DOS-0011;AFF-0011;;open;medium;;CLI-0011;DO-0011;SITE-0011;
DOS-0012;AFF-0012;;in_progress;high;;CLI-0012;DO-0012;SITE-0012;import
DOS-0013;AFF-0013;;open;medium;;CLI-0013;DO-0013;SITE-0013;
DOS-0014;AFF-0014;;in_progress;medium;;CLI-0014;DO-0014;SITE-0014;import
DOS-0015;AFF-0015;;open;high;;CLI-0015;DO-0015;SITE-0015;
DOS-0016;AFF-0016;;in_progress;medium;;CLI-0016;DO-0016;SITE-0016;import
DOS-0017;AFF-0017;;open;medium;;CLI-0017;DO-0017;SITE-0017;
DOS-0018;AFF-0018;;in_progress;high;;CLI-0018;DO-0018;SITE-0018;import
DOS-0019;AFF-0019;;open;medium;;CLI-0019;DO-0019;SITE-0019;
DOS-0020;AFF-0020;;in_progress;medium;;CLI-0020;DO-0020;SITE-0020;import
DOS-0021;AFF-0021;;open;high;;CLI-0021;DO-0021;SITE-0021;
DOS-0022;AFF-0022;;in_progress;medium;;CLI-0022;DO-0022;SITE-0022;import
DOS-0023;AFF-0023;;open;medium;;CLI-0023;DO-0023;SITE-0023;
DOS-0024;AFF-0024;;in_progress;high;;CLI-0024;DO-0024;SITE-0024;import
DOS-0025;AFF-0025;;open;medium;;CLI-0025;DO-0025;SITE-0025;
DOS-0026;AFF-0026;;in_progress;medium;;CLI-0026;DO-0026;SITE-0026;import
DOS-0027;AFF-0027;;open;high;;CLI-0027;DO-0027;SITE-0027;
DOS-0028;AFF-0028;;in_progress;medium;;CLI-0028;DO-0028;SITE-0028;import
DOS-0029;AFF-0029;;open;medium;;CLI-0029;DO-0029;SITE-0029;
DOS-0030;AFF-0030;;in_progress;high;;CLI-0030;DO-0030;SITE-0030;import
DOS-0031;AFF-0031;;open;medium;;CLI-0031;DO-0031;SITE-0031;
DOS-0032;AFF-0032;;in_progress;medium;;CLI-0032;DO-0032;SITE-0032;import
DOS-0033;AFF-0033;;open;high;;CLI-0033;DO-0033;SITE-0033;
DOS-0034;AFF-0034;;in_progress;medium;;CLI-0034;DO-0034;SITE-0034;import
DOS-0035;AFF-0035;;open;medium;;CLI-0035;DO-0035;SITE-0035;
DOS-0036;AFF-0036;;in_progress;high;;CLI-0036;DO-0036;SITE-0036;import
DOS-0037;AFF-0037;;open;medium;;CLI-0037;DO-0037;SITE-0037;
DOS-0038;AFF-0038;;in_progress;medium;;CLI-0038;DO-0038;SITE-0038;import
DOS-0039;AFF-0039;;open;high;;CLI-0039;DO-0039;SITE-0039;
DOS-0040;AFF-0040;;in_progress;medium;;CLI-0040;DO-0040;SITE-0040;import
DOS-0041;AFF-0041;;open;medium;;CLI-0041;DO-0041;SITE-0041;
DOS-0042;AFF-0042;;in_progress;high;;CLI-0042;DO-0042;SITE-0042;import
DOS-0043;AFF-0043;;open;medium;;CLI-0043;DO-0043;SITE-0043;
DOS-0044;AFF-0044;;in_progress;medium;;CLI-0044;DO-0044;SITE-0044;import
DOS-0045;AFF-0045;;open;high;;CLI-0045;DO-0045;SITE-0045;
DOS-0046;AFF-0046;;in_progress;medium;;CLI-0046;DO-0046;SITE-0046;import
DOS-0047;AFF-0047;;open;medium;;CLI-0047;DO-0047;SITE-0047;
DOS-0048;AFF-0048;;in_progress;high;;CLI-0048;DO-0048;SITE-0048;import
DOS-0049;AFF-0049;;open;medium;;CLI-0049;DO-0049;SITE-0049;
DOS-0050;AFF-0050;;in_progress;medium;;CLI-0050;DO-0050;SITE-0050;import
DOS-0051;AFF-0051;;open;high;;CLI-0051;DO-0051;SITE-0051;
DOS-0052;AFF-0052;;in_progress;medium;;CLI-0052;DO-0052;SITE-0052;import
DOS-0053;AFF-0053;;open;medium;;CLI-0053;DO-0053;SITE-0053;
DOS-0054;AFF-0054;;in_progress;high;;CLI-0054;DO-0054;SITE-0054;import
DOS-0055;AFF-0055;;open;medium;;CLI-0055;DO-0055;SITE-0055;
DOS-0056;AFF-0056;;in_progress;medium;;CLI-0056;DO-0056;SITE-0056;import
DOS-0057;AFF-0057;;open;high;;CLI-0057;DO-0057;SITE-0057;
DOS-0058;AFF-0058;;in_progress;medium;;CLI-0058;DO-0058;SITE-0058;import
DOS-0059;AFF-0059;;open;medium;;CLI-0059;DO-0059;SITE-0059;
DOS-0060;AFF-0060;;in_progress;high;;CLI-0060;DO-0060;SITE-0060;import
DOS-0061;AFF-0061;;open;medium;;CLI-0061;DO-0061;SITE-0061;
DOS-0062;AFF-0062;;in_progress;medium;;CLI-0062;DO-0062;SITE-0062;import
DOS-0063;AFF-0063;;open;high;;CLI-0063;DO-0063;SITE-0063;
DOS-0064;AFF-0064;;in_progress;medium;;CLI-0064;DO-0064;SITE-0064;import
DOS-0065;AFF-0065;;open;medium;;CLI-0065;DO-0065;SITE-0065;
DOS-0066;AFF-0066;;in_progress;high;;CLI-0066;DO-0066;SITE-0066;import
DOS-0067;AFF-0067;;open;medium;;CLI-0067;DO-0067;SITE-0067;
DOS-0068;AFF-0068;;in_progress;medium;;CLI-0068;DO-0068;SITE-0068;import
DOS-0069;AFF-0069;;open;high;;CLI-0069;DO-0069;SITE-0069;
DOS-0070;AFF-0070;;in_progress;medium;;CLI-0070;DO-0070;SITE-0070;import
DOS-0071;AFF-0071;;open;medium;;CLI-0071;DO-0071;SITE-0071;
DOS-0072;AFF-0072;;in_progress;high;;CLI-0072;DO-0072;SITE-0072;import
DOS-0073;AFF-0073;;open;medium;;CLI-0073;DO-0073;SITE-0073;
DOS-0074;AFF-0074;;in_progress;medium;;CLI-0074;DO-0074;SITE-0074;import
DOS-0075;AFF-0075;;open;high;;CLI-0075;DO-0075;SITE-0075;
DOS-0076;AFF-0076;;in_progress;medium;;CLI-0076;DO-0076;SITE-0076;import
DOS-0077;AFF-0077;;open;medium;;CLI-0077;DO-0077;SITE-0077;
DOS-0078;AFF-0078;;in_progress;high;;CLI-0078;DO-0078;SITE-0078;import
DOS-0079;AFF-0079;;open;medium;;CLI-0079;DO-0079;SITE-0079;
DOS-0080;AFF-0080;;in_progress;medium;;CLI-0080;DO-0080;SITE-0080;import
DOS-0081;AFF-0081;;open;high;;CLI-0081;DO-0081;SITE-0081;
DOS-0082;AFF-0082;;in_progress;medium;;CLI-0082;DO-0082;SITE-0082;import
DOS-0083;AFF-0083;;open;medium;;CLI-0083;DO-0083;SITE-0083;
DOS-0084;AFF-0084;;in_progress;high;;CLI-0084;DO-0084;SITE-0084;import
DOS-0085;AFF-0085;;open;medium;;CLI-0085;DO-0085;SITE-0085;
DOS-0086;AFF-0086;;in_progress;medium;;CLI-0086;DO-0086;SITE-0086;import
DOS-0087;AFF-0087;;open;high;;CLI-0087;DO-0087;SITE-0087;
DOS-0088;AFF-0088;;in_progress;medium;;CLI-0088;DO-0088;SITE-0088;import
DOS-0089;AFF-0089;;open;medium;;CLI-0089;DO-0089;SITE-0089;
DOS-0090;AFF-0090;;in_progress;high;;CLI-0090;DO-0090;SITE-0090;import
DOS-0091;AFF-0091;;open;medium;;CLI-0091;DO-0091;SITE-0091;
DOS-0092;AFF-0092;;in_progress;medium;;CLI-0092;DO-0092;SITE-0092;import
DOS-0093;AFF-0093;;open;high;;CLI-0093;DO-0093;SITE-0093;
DOS-0094;AFF-0094;;in_progress;medium;;CLI-0094;DO-0094;SITE-0094;import
DOS-0095;AFF-0095;;open;medium;;CLI-0095;DO-0095;SITE-0095;
DOS-0096;AFF-0096;;in_progress;high;;CLI-0096;DO-0096;SITE-0096;import
DOS-0097;AFF-0097;;open;medium;;CLI-0097;DO-0097;SITE-0097;
DOS-0098;AFF-0098;;in_progress;medium;;CLI-0098;DO-0098;SITE-0098;import
DOS-0099;AFF-0099;;open;high;;CLI-0099;DO-0099;SITE-0099;
DOS-0100;AFF-0100;;in_progress;medium;;CLI-0100;DO-0100;SITE-0100;import
DOS-0101;AFF-0101;;open;medium;;CLI-0101;DO-0101;SITE-0101;
DOS-0102;AFF-0102;;in_progress;high;;CLI-0102;DO-0102;SITE-0102;import
DOS-0103;AFF-0103;;open;medium;;CLI-0103;DO-0103;SITE-0103;
DOS-0104;AFF-0104;;in_progress;medium;;CLI-0104;DO-0104;SITE-0104;import
DOS-0105;AFF-0105;;open;high;;CLI-0105;DO-0105;SITE-0105;
DOS-0106;AFF-0106;;in_progress;medium;;CLI-0106;DO-0106;SITE-0106;import
DOS-0107;AFF-0107;;open;medium;;CLI-0107;DO-0107;SITE-0107;
DOS-0108;AFF-0108;;in_progress;high;;CLI-0108;DO-0108;SITE-0108;import
DOS-0109;AFF-0109;;open;medium;;CLI-0109;DO-0109;SITE-0109;
DOS-0110;AFF-0110;;in_progress;medium;;CLI-0110;DO-0110;SITE-0110;import
DOS-0111;AFF-0111;;open;high;;CLI-0111;DO-0111;SITE-0111;
DOS-0112;AFF-0112;;in_progress;medium;;CLI-0112;DO-0112;SITE-0112;import
DOS-0113;AFF-0113;;open;medium;;CLI-0113;DO-0113;SITE-0113;
DOS-0114;AFF-0114;;in_progress;high;;CLI-0114;DO-0114;SITE-0114;import
DOS-0115;AFF-0115;;open;medium;;CLI-0115;DO-0115;SITE-0115;
DOS-0116;AFF-0116;;in_progress;medium;;CLI-0116;DO-0116;SITE-0116;import
DOS-0117;AFF-0117;;open;high;;CLI-0117;DO-0117;SITE-0117;
DOS-0118;AFF-0118;;in_progress;medium;;CLI-0118;DO-0118;SITE-0118;import
DOS-0119;AFF-0119;;open;medium;;CLI-0119;DO-0119;SITE-0119;
DOS-0120;AFF-0120;;in_progress;high;;CLI-0120;DO-0120;SITE-0120;import
DOS-0121;AFF-0121;;open;medium;;CLI-0121;DO-0121;SITE-0121;
DOS-0122;AFF-0122;;in_progress;medium;;CLI-0122;DO-0122;SITE-0122;import
DOS-0123;AFF-0123;;open;high;;CLI-0123;DO-0123;SITE-0123;
DOS-0124;AFF-0124;;in_progress;medium;;CLI-0124;DO-0124;SITE-0124;import
DOS-0125;AFF-0125;;open;medium;;CLI-0125;DO-0125;SITE-0125;
DOS-0126;AFF-0126;;in_progress;high;;CLI-0126;DO-0126;SITE-0126;import
DOS-0127;AFF-0127;;open;medium;;CLI-0127;DO-0127;SITE-0127;
DOS-0128;AFF-0128;;in_progress;medium;;CLI-0128;DO-0128;SITE-0128;import
DOS-0129;AFF-0129;;open;high;;CLI-0129;DO-0129;SITE-0129;
DOS-0130;AFF-0130;;in_progress;medium;;CLI-0130;DO-0130;SITE-0130;import
DOS-0131;AFF-0131;;open;medium;;CLI-0131;DO-0131;SITE-0131;
DOS-0132;AFF-0132;;in_progress;high;;CLI-0132;DO-0132;SITE-0132;import
DOS-0133;AFF-0133;;open;medium;;CLI-0133;DO-0133;SITE-0133;
DOS-0134;AFF-0134;;in_progress;medium;;CLI-0134;DO-0134;SITE-0134;import
DOS-0135;AFF-0135;;open;high;;CLI-0135;DO-0135;SITE-0135;
DOS-0136;AFF-0136;;in_progress;medium;;CLI-0136;DO-0136;SITE-0136;import
DOS-0137;AFF-0137;;open;medium;;CLI-0137;DO-0137;SITE-0137;
DOS-0138;AFF-0138;;in_progress;high;;CLI-0138;DO-0138;SITE-0138;import
DOS-0139;AFF-0139;;open;medium;;CLI-0139;DO-0139;SITE-0139;
DOS-0140;AFF-0140;;in_progress;medium;;CLI-0140;DO-0140;SITE-0140;import
DOS-0141;AFF-0141;;open;high;;CLI-0141;DO-0141;SITE-0141;
DOS-0142;AFF-0142;;in_progress;medium;;CLI-0142;DO-0142;SITE-0142;import
DOS-0143;AFF-0143;;open;medium;;CLI-0143;DO-0143;SITE-0143;
DOS-0144;AFF-0144;;in_progress;high;;CLI-0144;DO-0144;SITE-0144;import
DOS-0145;AFF-0145;;open;medium;;CLI-0145;DO-0145;SITE-0145;
DOS-0146;AFF-0146;;in_progress;medium;;CLI-0146;DO-0146;SITE-0146;import
DOS-0147;AFF-0147;;open;high;;CLI-0147;DO-0147;SITE-0147;
DOS-0148;AFF-0148;;in_progress;medium;;CLI-0148;DO-0148;SITE-0148;import
DOS-0149;AFF-0149;;open;medium;;CLI-0149;DO-0149;SITE-0149;
DOS-0150;AFF-0150;;in_progress;high;;CLI-0150;DO-0150;SITE-0150;import
DOS-0151;AFF-0151;;open;medium;;CLI-0151;DO-0151;SITE-0151;
DOS-0152;AFF-0152;;in_progress;medium;;CLI-0152;DO-0152;SITE-0152;import
DOS-0153;AFF-0153;;open;high;;CLI-0153;DO-0153;SITE-0153;
DOS-0154;AFF-0154;;in_progress;medium;;CLI-0154;DO-0154;SITE-0154;import
DOS-0155;AFF-0155;;open;medium;;CLI-0155;DO-0155;SITE-0155;
DOS-0156;AFF-0156;;in_progress;high;;CLI-0156;DO-0156;SITE-0156;import
DOS-0157;AFF-0157;;open;medium;;CLI-0157;DO-0157;SITE-0157;
DOS-0158;AFF-0158;;in_progress;medium;;CLI-0158;DO-0158;SITE-0158;import
DOS-0159;AFF-0159;;open;high;;CLI-0159;DO-0159;SITE-0159;
DOS-0160;AFF-0160;;in_progress;medium;;CLI-0160;DO-0160;SITE-0160;import
DOS-0161;AFF-0161;;open;medium;;CLI-0161;DO-0161;SITE-0161;
DOS-0162;AFF-0162;;in_progress;high;;CLI-0162;DO-0162;SITE-0162;import
DOS-0163;AFF-0163;;open;medium;;CLI-0163;DO-0163;SITE-0163;
DOS-0164;AFF-0164;;in_progress;medium;;CLI-0164;DO-0164;SITE-0164;import
DOS-0165;AFF-0165;;open;high;;CLI-0165;DO-0165;SITE-0165;
DOS-0166;AFF-0166;;in_progress;medium;;CLI-0166;DO-0166;SITE-0166;import
DOS-0167;AFF-0167;;open;medium;;CLI-0167;DO-0167;SITE-0167;
DOS-0168;AFF-0168;;in_progress;high;;CLI-0168;DO-0168;SITE-0168;import
DOS-0169;AFF-0169;;open;medium;;CLI-0169;DO-0169;SITE-0169;
DOS-0170;AFF-0170;;in_progress;medium;;CLI-0170;DO-0170;SITE-0170;import
DOS-0171;AFF-0171;;open;high;;CLI-0171;DO-0171;SITE-0171;
DOS-0172;AFF-0172;;in_progress;medium;;CLI-0172;DO-0172;SITE-0172;import
DOS-0173;AFF-0173;;open;medium;;CLI-0173;DO-0173;SITE-0173;
DOS-0174;AFF-0174;;in_progress;high;;CLI-0174;DO-0174;SITE-0174;import
DOS-0175;AFF-0175;;open;medium;;CLI-0175;DO-0175;SITE-0175;
DOS-0176;AFF-0176;;in_progress;medium;;CLI-0176;DO-0176;SITE-0176;import
DOS-0177;AFF-0177;;open;high;;CLI-0177;DO-0177;SITE-0177;
DOS-0178;AFF-0178;;in_progress;medium;;CLI-0178;DO-0178;SITE-0178;import
DOS-0179;AFF-0179;;open;medium;;CLI-0179;DO-0179;SITE-0179;
DOS-0180;AFF-0180;;in_progress;high;;CLI-0180;DO-0180;SITE-0180;import
DOS-0181;AFF-0181;;open;medium;;CLI-0181;DO-0181;SITE-0181;
DOS-0182;AFF-0182;;in_progress;medium;;CLI-0182;DO-0182;SITE-0182;import
DOS-0183;AFF-0183;;open;high;;CLI-0183;DO-0183;SITE-0183;
DOS-0184;AFF-0184;;in_progress;medium;;CLI-0184;DO-0184;SITE-0184;import
DOS-0185;AFF-0185;;open;medium;;CLI-0185;DO-0185;SITE-0185;
DOS-0186;AFF-0186;;in_progress;high;;CLI-0186;DO-0186;SITE-0186;import
DOS-0187;AFF-0187;;open;medium;;CLI-0187;DO-0187;SITE-0187;
DOS-0188;AFF-0188;;in_progress;medium;;CLI-0188;DO-0188;SITE-0188;import
DOS-0189;AFF-0189;;open;high;;CLI-0189;DO-0189;SITE-0189;
DOS-0190;AFF-0190;;in_progress;medium;;CLI-0190;DO-0190;SITE-0190;import
DOS-0191;AFF-0191;;open;medium;;CLI-0191;DO-0191;SITE-0191;
DOS-0192;AFF-0192;;in_progress;high;;CLI-0192;DO-0192;SITE-0192;import
DOS-0193;AFF-0193;;open;medium;;CLI-0193;DO-0193;SITE-0193;
DOS-0194;AFF-0194;;in_progress;medium;;CLI-0194;DO-0194;SITE-0194;import
DOS-0195;AFF-0195;;open;high;;CLI-0195;DO-0195;SITE-0195;
DOS-0196;AFF-0196;;in_progress;medium;;CLI-0196;DO-0196;SITE-0196;import
DOS-0197;AFF-0197;;open;medium;;CLI-0197;DO-0197;SITE-0197;
DOS-0198;AFF-0198;;in_progress;high;;CLI-0198;DO-0198;SITE-0198;import
DOS-0199;AFF-0199;;open;medium;;CLI-0199;DO-0199;SITE-0199;
DOS-0200;AFF-0200;;in_progress;medium;;CLI-0200;DO-0200;SITE-0200;import
DOS-0201;AFF-0201;;open;high;;CLI-0201;DO-0201;SITE-0201;
DOS-0202;AFF-0202;;in_progress;medium;;CLI-0202;DO-0202;SITE-0202;import
DOS-0203;AFF-0203;;open;medium;;CLI-0203;DO-0203;SITE-0203;
DOS-0204;AFF-0204;;in_progress;high;;CLI-0204;DO-0204;SITE-0204;import
DOS-0205;AFF-0205;;open;medium;;CLI-0205;DO-0205;SITE-0205;
DOS-0206;AFF-0206;;in_progress;medium;;CLI-0206;DO-0206;SITE-0206;import
DOS-0207;AFF-0207;;open;high;;CLI-0207;DO-0207;SITE-0207;
DOS-0208;AFF-0208;;in_progress;medium;;CLI-0208;DO-0208;SITE-0208;import
DOS-0209;AFF-0209;;open;medium;;CLI-0209;DO-0209;SITE-0209;
DOS-0210;AFF-0210;;in_progress;high;;CLI-0210;DO-0210;SITE-0210;import
DOS-0211;AFF-0211;;open;medium;;CLI-0211;DO-0211;SITE-0211;
DOS-0212;AFF-0212;;in_progress;medium;;CLI-0212;DO-0212;SITE-0212;import
DOS-0213;AFF-0213;;open;high;;CLI-0213;DO-0213;SITE-0213;
DOS-0214;AFF-0214;;in_progress;medium;;CLI-0214;DO-0214;SITE-0214;import
DOS-0215;AFF-0215;;open;medium;;CLI-0215;DO-0215;SITE-0215;
