externalId;caseExternalId;title;description;status;scheduledStart;scheduledEnd;startedAt;completedAt;typeName;typeColor;assigneeEmail;teamName;notes
INT-0001;DOS-0001;Intervention 1;;in_progress;2025-02-02T09:00:00;2025-02-02T11:00:00;2025-02-02T09:15:00;;SAV;#ea580c;;;
INT-0002;DOS-0002;Intervention 2;;completed;2026-03-03T10:00:00;2026-03-03T12:00:00;2026-03-03T10:15:00;2026-03-03T11:45:00;Entretien;#16a34a;;;
INT-0003;DOS-0003;Intervention 3;;cancelled;2024-04-04T11:00:00;2024-04-04T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0004;DOS-0004;Intervention 4;;planned;2025-05-05T12:00:00;2025-05-05T14:00:00;;;Pose;#2563eb;;;
INT-0005;DOS-0005;Intervention 5;Notes terrain 5;in_progress;2026-06-06T13:00:00;2026-06-06T15:00:00;2026-06-06T13:15:00;;SAV;#ea580c;;;
INT-0006;DOS-0006;Intervention 6;;completed;2024-07-07T14:00:00;2024-07-07T16:00:00;2024-07-07T14:15:00;2024-07-07T15:45:00;Entretien;#16a34a;;;
INT-0007;DOS-0007;Intervention 7;;cancelled;2025-08-08T15:00:00;2025-08-08T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0008;DOS-0008;Intervention 8;;planned;2026-09-09T08:00:00;2026-09-09T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0009;DOS-0009;Intervention 9;;in_progress;2024-10-10T09:00:00;2024-10-10T11:00:00;2024-10-10T09:15:00;;SAV;#ea580c;;;
INT-0010;DOS-0010;Intervention 10;Notes terrain 10;completed;2025-11-11T10:00:00;2025-11-11T12:00:00;2025-11-11T10:15:00;2025-11-11T11:45:00;Entretien;#16a34a;;;
INT-0011;DOS-0011;Intervention 11;;cancelled;2026-12-12T11:00:00;2026-12-12T13:00:00;;;Diagnostic;#7c3aed;;Équipe Nord;
INT-0012;DOS-0012;Intervention 12;;planned;2024-01-13T12:00:00;2024-01-13T14:00:00;;;Pose;#2563eb;;;
INT-0013;DOS-0013;Intervention 13;;in_progress;2025-02-14T13:00:00;2025-02-14T15:00:00;2025-02-14T13:15:00;;SAV;#ea580c;;;
INT-0014;DOS-0014;Intervention 14;;completed;2026-03-15T14:00:00;2026-03-15T16:00:00;2026-03-15T14:15:00;2026-03-15T15:45:00;Entretien;#16a34a;;;
INT-0015;DOS-0015;Intervention 15;Notes terrain 15;cancelled;2024-04-16T15:00:00;2024-04-16T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0016;DOS-0016;Intervention 16;;planned;2025-05-17T08:00:00;2025-05-17T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0017;DOS-0017;Intervention 17;;in_progress;2026-06-18T09:00:00;2026-06-18T11:00:00;2026-06-18T09:15:00;;SAV;#ea580c;;;
INT-0018;DOS-0018;Intervention 18;;completed;2024-07-19T10:00:00;2024-07-19T12:00:00;2024-07-19T10:15:00;2024-07-19T11:45:00;Entretien;#16a34a;;;
INT-0019;DOS-0019;Intervention 19;;cancelled;2025-08-20T11:00:00;2025-08-20T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0020;DOS-0020;Intervention 20;Notes terrain 20;planned;2026-09-21T12:00:00;2026-09-21T14:00:00;;;Pose;#2563eb;;;
INT-0021;DOS-0021;Intervention 21;;in_progress;2024-10-22T13:00:00;2024-10-22T15:00:00;2024-10-22T13:15:00;;SAV;#ea580c;;;
INT-0022;DOS-0022;Intervention 22;;completed;2025-11-23T14:00:00;2025-11-23T16:00:00;2025-11-23T14:15:00;2025-11-23T15:45:00;Entretien;#16a34a;;Équipe Nord;
INT-0023;DOS-0023;Intervention 23;;cancelled;2026-12-24T15:00:00;2026-12-24T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0024;DOS-0024;Intervention 24;;planned;2024-01-25T08:00:00;2024-01-25T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0025;DOS-0025;Intervention 25;Notes terrain 25;in_progress;2025-02-26T09:00:00;2025-02-26T11:00:00;2025-02-26T09:15:00;;SAV;#ea580c;;;
INT-0026;DOS-0026;Intervention 26;;completed;2026-03-27T10:00:00;2026-03-27T12:00:00;2026-03-27T10:15:00;2026-03-27T11:45:00;Entretien;#16a34a;;;
INT-0027;DOS-0027;Intervention 27;;cancelled;2024-04-01T11:00:00;2024-04-01T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0028;DOS-0028;Intervention 28;;planned;2025-05-02T12:00:00;2025-05-02T14:00:00;;;Pose;#2563eb;;;
INT-0029;DOS-0029;Intervention 29;;in_progress;2026-06-03T13:00:00;2026-06-03T15:00:00;2026-06-03T13:15:00;;SAV;#ea580c;;;
INT-0030;DOS-0030;Intervention 30;Notes terrain 30;completed;2024-07-04T14:00:00;2024-07-04T16:00:00;2024-07-04T14:15:00;2024-07-04T15:45:00;Entretien;#16a34a;;;
INT-0031;DOS-0031;Intervention 31;;cancelled;2025-08-05T15:00:00;2025-08-05T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0032;DOS-0032;Intervention 32;;planned;2026-09-06T08:00:00;2026-09-06T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0033;DOS-0033;Intervention 33;;in_progress;2024-10-07T09:00:00;2024-10-07T11:00:00;2024-10-07T09:15:00;;SAV;#ea580c;;Équipe Nord;
INT-0034;DOS-0034;Intervention 34;;completed;2025-11-08T10:00:00;2025-11-08T12:00:00;2025-11-08T10:15:00;2025-11-08T11:45:00;Entretien;#16a34a;;;
INT-0035;DOS-0035;Intervention 35;Notes terrain 35;cancelled;2026-12-09T11:00:00;2026-12-09T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0036;DOS-0036;Intervention 36;;planned;2024-01-10T12:00:00;2024-01-10T14:00:00;;;Pose;#2563eb;;;
INT-0037;DOS-0037;Intervention 37;;in_progress;2025-02-11T13:00:00;2025-02-11T15:00:00;2025-02-11T13:15:00;;SAV;#ea580c;;;
INT-0038;DOS-0038;Intervention 38;;completed;2026-03-12T14:00:00;2026-03-12T16:00:00;2026-03-12T14:15:00;2026-03-12T15:45:00;Entretien;#16a34a;;;
INT-0039;DOS-0039;Intervention 39;;cancelled;2024-04-13T15:00:00;2024-04-13T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0040;DOS-0040;Intervention 40;Notes terrain 40;planned;2025-05-14T08:00:00;2025-05-14T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0041;DOS-0041;Intervention 41;;in_progress;2026-06-15T09:00:00;2026-06-15T11:00:00;2026-06-15T09:15:00;;SAV;#ea580c;;;
INT-0042;DOS-0042;Intervention 42;;completed;2024-07-16T10:00:00;2024-07-16T12:00:00;2024-07-16T10:15:00;2024-07-16T11:45:00;Entretien;#16a34a;;;
INT-0043;DOS-0043;Intervention 43;;cancelled;2025-08-17T11:00:00;2025-08-17T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0044;DOS-0044;Intervention 44;;planned;2026-09-18T12:00:00;2026-09-18T14:00:00;;;Pose;#2563eb;;Équipe Nord;
INT-0045;DOS-0045;Intervention 45;Notes terrain 45;in_progress;2024-10-19T13:00:00;2024-10-19T15:00:00;2024-10-19T13:15:00;;SAV;#ea580c;;;
INT-0046;DOS-0046;Intervention 46;;completed;2025-11-20T14:00:00;2025-11-20T16:00:00;2025-11-20T14:15:00;2025-11-20T15:45:00;Entretien;#16a34a;;;
INT-0047;DOS-0047;Intervention 47;;cancelled;2026-12-21T15:00:00;2026-12-21T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0048;DOS-0048;Intervention 48;;planned;2024-01-22T08:00:00;2024-01-22T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0049;DOS-0049;Intervention 49;;in_progress;2025-02-23T09:00:00;2025-02-23T11:00:00;2025-02-23T09:15:00;;SAV;#ea580c;;;
INT-0050;DOS-0050;Intervention 50;Notes terrain 50;completed;2026-03-24T10:00:00;2026-03-24T12:00:00;2026-03-24T10:15:00;2026-03-24T11:45:00;Entretien;#16a34a;;;
INT-0051;DOS-0051;Intervention 51;;cancelled;2024-04-25T11:00:00;2024-04-25T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0052;DOS-0052;Intervention 52;;planned;2025-05-26T12:00:00;2025-05-26T14:00:00;;;Pose;#2563eb;;;
INT-0053;DOS-0053;Intervention 53;;in_progress;2026-06-27T13:00:00;2026-06-27T15:00:00;2026-06-27T13:15:00;;SAV;#ea580c;;;
INT-0054;DOS-0054;Intervention 54;;completed;2024-07-01T14:00:00;2024-07-01T16:00:00;2024-07-01T14:15:00;2024-07-01T15:45:00;Entretien;#16a34a;;;
INT-0055;DOS-0055;Intervention 55;Notes terrain 55;cancelled;2025-08-02T15:00:00;2025-08-02T17:00:00;;;Diagnostic;#7c3aed;;Équipe Nord;
INT-0056;DOS-0056;Intervention 56;;planned;2026-09-03T08:00:00;2026-09-03T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0057;DOS-0057;Intervention 57;;in_progress;2024-10-04T09:00:00;2024-10-04T11:00:00;2024-10-04T09:15:00;;SAV;#ea580c;;;
INT-0058;DOS-0058;Intervention 58;;completed;2025-11-05T10:00:00;2025-11-05T12:00:00;2025-11-05T10:15:00;2025-11-05T11:45:00;Entretien;#16a34a;;;
INT-0059;DOS-0059;Intervention 59;;cancelled;2026-12-06T11:00:00;2026-12-06T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0060;DOS-0060;Intervention 60;Notes terrain 60;planned;2024-01-07T12:00:00;2024-01-07T14:00:00;;;Pose;#2563eb;;;
INT-0061;DOS-0061;Intervention 61;;in_progress;2025-02-08T13:00:00;2025-02-08T15:00:00;2025-02-08T13:15:00;;SAV;#ea580c;;;
INT-0062;DOS-0062;Intervention 62;;completed;2026-03-09T14:00:00;2026-03-09T16:00:00;2026-03-09T14:15:00;2026-03-09T15:45:00;Entretien;#16a34a;;;
INT-0063;DOS-0063;Intervention 63;;cancelled;2024-04-10T15:00:00;2024-04-10T17:00:00;;;Diagnostic;#7c3aed;;;
INT-0064;DOS-0064;Intervention 64;;planned;2025-05-11T08:00:00;2025-05-11T10:00:00;;;Pose;#2563eb;;;Import historique
INT-0065;DOS-0065;Intervention 65;Notes terrain 65;in_progress;2026-06-12T09:00:00;2026-06-12T11:00:00;2026-06-12T09:15:00;;SAV;#ea580c;;;
INT-0066;DOS-0066;Intervention 66;;completed;2024-07-13T10:00:00;2024-07-13T12:00:00;2024-07-13T10:15:00;2024-07-13T11:45:00;Entretien;#16a34a;;Équipe Nord;
INT-0067;DOS-0067;Intervention 67;;cancelled;2025-08-14T11:00:00;2025-08-14T13:00:00;;;Diagnostic;#7c3aed;;;
INT-0068;DOS-0068;Intervention 68;;planned;2026-09-15T12:00:00;2026-09-15T14:00:00;;;Pose;#2563eb;;;
INT-0069;DOS-0069;Intervention 69;;in_progress;2024-10-16T13:00:00;2024-10-16T15:00:00;2024-10-16T13:15:00;;SAV;#ea580c;;;
