externalId;name;reference;description;unit;defaultPrice;defaultTvaRate
PREST-0001;Déplacement 1;PREST-REF-0001;;heure;26.25;20
PREST-0002;Diagnostic 2;PREST-REF-0002;;heure;27.50;10
PREST-0003;Mise en service 3;PREST-REF-0003;;forfait;28.75;5.5
PREST-0004;Entretien annuel 4;PREST-REF-0004;;heure;30.00;0
PREST-0005;Remplacement pièce 5;PREST-REF-0005;;heure;31.25;20
PREST-0006;Nettoyage 6;PREST-REF-0006;Prestation import 6;forfait;32.50;20
PREST-0007;Réglage 7;PREST-REF-0007;;heure;33.75;10
PREST-0008;Formation client 8;PREST-REF-0008;;heure;35.00;5.5
PREST-0009;Urgence weekend 9;PREST-REF-0009;;forfait;36.25;0
PREST-0010;Main d'œuvre 10;PREST-REF-0010;;heure;37.50;20
PREST-0011;Déplacement 11;PREST-REF-0011;;heure;38.75;20
PREST-0012;Diagnostic 12;PREST-REF-0012;Prestation import 12;forfait;40.00;10
PREST-0013;Mise en service 13;PREST-REF-0013;;heure;41.25;5.5
PREST-0014;Entretien annuel 14;PREST-REF-0014;;heure;42.50;0
PREST-0015;Remplacement pièce 15;PREST-REF-0015;;forfait;43.75;20
PREST-0016;Nettoyage 16;PREST-REF-0016;;heure;45.00;20
PREST-0017;Réglage 17;PREST-REF-0017;;heure;46.25;10
PREST-0018;Formation client 18;PREST-REF-0018;Prestation import 18;forfait;47.50;5.5
PREST-0019;Urgence weekend 19;PREST-REF-0019;;heure;48.75;0
PREST-0020;Main d'œuvre 20;PREST-REF-0020;;heure;50.00;20
PREST-0021;Déplacement 21;PREST-REF-0021;;forfait;51.25;20
PREST-0022;Diagnostic 22;PREST-REF-0022;;heure;52.50;10
PREST-0023;Mise en service 23;PREST-REF-0023;;heure;53.75;5.5
PREST-0024;Entretien annuel 24;PREST-REF-0024;Prestation import 24;forfait;55.00;0
PREST-0025;Remplacement pièce 25;PREST-REF-0025;;heure;56.25;20
PREST-0026;Nettoyage 26;PREST-REF-0026;;heure;57.50;20
PREST-0027;Réglage 27;PREST-REF-0027;;forfait;58.75;10
PREST-0028;Formation client 28;PREST-REF-0028;;heure;60.00;5.5
PREST-0029;Urgence weekend 29;PREST-REF-0029;;heure;61.25;0
PREST-0030;Main d'œuvre 30;PREST-REF-0030;Prestation import 30;forfait;62.50;20
PREST-0031;Déplacement 31;PREST-REF-0031;;heure;63.75;20
PREST-0032;Diagnostic 32;PREST-REF-0032;;heure;65.00;10
PREST-0033;Mise en service 33;PREST-REF-0033;;forfait;66.25;5.5
PREST-0034;Entretien annuel 34;PREST-REF-0034;;heure;67.50;0
PREST-0035;Remplacement pièce 35;PREST-REF-0035;;heure;68.75;20
PREST-0036;Nettoyage 36;PREST-REF-0036;Prestation import 36;forfait;70.00;20
PREST-0037;Réglage 37;PREST-REF-0037;;heure;71.25;10
PREST-0038;Formation client 38;PREST-REF-0038;;heure;72.50;5.5
PREST-0039;Urgence weekend 39;PREST-REF-0039;;forfait;73.75;0
PREST-0040;Main d'œuvre 40;PREST-REF-0040;;heure;75.00;20
PREST-0041;Déplacement 41;PREST-REF-0041;;heure;76.25;20
PREST-0042;Diagnostic 42;PREST-REF-0042;Prestation import 42;forfait;77.50;10
PREST-0043;Mise en service 43;PREST-REF-0043;;heure;78.75;5.5
PREST-0044;Entretien annuel 44;PREST-REF-0044;;heure;80.00;0
PREST-0045;Remplacement pièce 45;PREST-REF-0045;;forfait;81.25;20
PREST-0046;Nettoyage 46;PREST-REF-0046;;heure;82.50;20
PREST-0047;Réglage 47;PREST-REF-0047;;heure;83.75;10
PREST-0048;Formation client 48;PREST-REF-0048;Prestation import 48;forfait;85.00;5.5
PREST-0049;Urgence weekend 49;PREST-REF-0049;;heure;86.25;0
PREST-0050;Main d'œuvre 50;PREST-REF-0050;;heure;87.50;20
PREST-0051;Déplacement 51;PREST-REF-0051;;forfait;88.75;20
PREST-0052;Diagnostic 52;PREST-REF-0052;;heure;90.00;10
PREST-0053;Mise en service 53;PREST-REF-0053;;heure;91.25;5.5
PREST-0054;Entretien annuel 54;PREST-REF-0054;Prestation import 54;forfait;92.50;0
PREST-0055;Remplacement pièce 55;PREST-REF-0055;;heure;93.75;20
PREST-0056;Nettoyage 56;PREST-REF-0056;;heure;95.00;20
PREST-0057;Réglage 57;PREST-REF-0057;;forfait;96.25;10
PREST-0058;Formation client 58;PREST-REF-0058;;heure;97.50;5.5
PREST-0059;Urgence weekend 59;PREST-REF-0059;;heure;98.75;0
PREST-0060;Main d'œuvre 60;PREST-REF-0060;Prestation import 60;forfait;100.00;20
PREST-0061;Déplacement 61;PREST-REF-0061;;heure;101.25;20
PREST-0062;Diagnostic 62;PREST-REF-0062;;heure;102.50;10
PREST-0063;Mise en service 63;PREST-REF-0063;;forfait;103.75;5.5
PREST-0064;Entretien annuel 64;PREST-REF-0064;;heure;105.00;0
PREST-0065;Remplacement pièce 65;PREST-REF-0065;;heure;106.25;20
PREST-0066;Nettoyage 66;PREST-REF-0066;Prestation import 66;forfait;107.50;20
PREST-0067;Réglage 67;PREST-REF-0067;;heure;108.75;10
PREST-0068;Formation client 68;PREST-REF-0068;;heure;110.00;5.5
PREST-0069;Urgence weekend 69;PREST-REF-0069;;forfait;111.25;0
PREST-0070;Main d'œuvre 70;PREST-REF-0070;;heure;112.50;20
PREST-0071;Déplacement 71;PREST-REF-0071;;heure;113.75;20
PREST-0072;Diagnostic 72;PREST-REF-0072;Prestation import 72;forfait;115.00;10
PREST-0073;Mise en service 73;PREST-REF-0073;;heure;116.25;5.5
PREST-0074;Entretien annuel 74;PREST-REF-0074;;heure;117.50;0
PREST-0075;Remplacement pièce 75;PREST-REF-0075;;forfait;118.75;20
PREST-0076;Nettoyage 76;PREST-REF-0076;;heure;120.00;20
PREST-0077;Réglage 77;PREST-REF-0077;;heure;121.25;10
PREST-0078;Formation client 78;PREST-REF-0078;Prestation import 78;forfait;122.50;5.5
PREST-0079;Urgence weekend 79;PREST-REF-0079;;heure;123.75;0
PREST-0080;Main d'œuvre 80;PREST-REF-0080;;heure;25.00;20
PREST-0081;Déplacement 81;PREST-REF-0081;;forfait;26.25;20
