externalId;customerExternalId;label;addressLine1;addressLine2;postalCode;city;country;isDefault;notes
SITE-0001;CLI-0001;Agence;2 place de la République;;75002;Paris;FR;true;
SITE-0002;CLI-0002;Entrepôt;3 chemin des Vignes;;69001;Lyon;FR;true;
SITE-0003;CLI-0003;Chantier principal;4 impasse des Lilas;;69003;Lyon;FR;true;
SITE-0004;CLI-0004;Bureau;5 allée des Tilleuls;;13001;Marseille;FR;true;
SITE-0005;CLI-0005;Siège;6 rue Nationale;;33000;Bordeaux;FR;true;
SITE-0006;CLI-0006;Agence;7 cours Mirabeau;;31000;Toulouse;FR;true;
SITE-0007;CLI-0007;Entrepôt;8 rue de la Paix;;44000;Nantes;FR;true;
SITE-0008;CLI-0008;Chantier principal;9 avenue Victor Hugo;;59000;Lille;FR;true;
SITE-0009;CLI-0009;Bureau;10 boulevard Haussmann;Étage 2;67000;Strasbourg;FR;true;
SITE-0010;CLI-0010;Siège;11 rue du Commerce;;34000;Montpellier;FR;true;
SITE-0011;CLI-0011;Agence;12 place de la République;;06000;Nice;FR;true;
SITE-0012;CLI-0012;Entrepôt;13 chemin des Vignes;;35000;Rennes;FR;true;
SITE-0013;CLI-0013;Chantier principal;14 impasse des Lilas;;51100;Reims;FR;true;
SITE-0014;CLI-0014;Bureau;15 allée des Tilleuls;;21000;Dijon;FR;true;
SITE-0015;CLI-0015;Siège;16 rue Nationale;;80000;Amiens;FR;true;
SITE-0016;CLI-0016;Agence;17 cours Mirabeau;;76000;Rouen;FR;true;
SITE-0017;CLI-0017;Entrepôt;18 rue de la Paix;;14000;Caen;FR;true;Site principal
SITE-0018;CLI-0018;Chantier principal;19 avenue Victor Hugo;Étage 2;29200;Brest;FR;true;
SITE-0019;CLI-0019;Bureau;20 boulevard Haussmann;;29800;Landerneau;FR;true;
SITE-0020;CLI-0020;Siège;21 rue du Commerce;;75001;Paris;FR;true;
SITE-0021;CLI-0021;Agence;22 place de la République;;75002;Paris;FR;true;
SITE-0022;CLI-0022;Entrepôt;23 chemin des Vignes;;69001;Lyon;FR;true;
SITE-0023;CLI-0023;Chantier principal;24 impasse des Lilas;;69003;Lyon;FR;true;
SITE-0024;CLI-0024;Bureau;25 allée des Tilleuls;;13001;Marseille;FR;true;
SITE-0025;CLI-0025;Siège;26 rue Nationale;;33000;Bordeaux;FR;true;
SITE-0026;CLI-0026;Agence;27 cours Mirabeau;;31000;Toulouse;FR;true;
SITE-0027;CLI-0027;Entrepôt;28 rue de la Paix;Étage 2;44000;Nantes;FR;true;
SITE-0028;CLI-0028;Chantier principal;29 avenue Victor Hugo;;59000;Lille;FR;true;
SITE-0029;CLI-0029;Bureau;30 boulevard Haussmann;;67000;Strasbourg;FR;true;
SITE-0030;CLI-0030;Siège;31 rue du Commerce;;34000;Montpellier;FR;true;
SITE-0031;CLI-0031;Agence;32 place de la République;;06000;Nice;FR;true;
SITE-0032;CLI-0032;Entrepôt;33 chemin des Vignes;;35000;Rennes;FR;true;
SITE-0033;CLI-0033;Chantier principal;34 impasse des Lilas;;51100;Reims;FR;true;
SITE-0034;CLI-0034;Bureau;35 allée des Tilleuls;;21000;Dijon;FR;true;Site principal
SITE-0035;CLI-0035;Siège;36 rue Nationale;;80000;Amiens;FR;true;
SITE-0036;CLI-0036;Agence;37 cours Mirabeau;Étage 2;76000;Rouen;FR;true;
SITE-0037;CLI-0037;Entrepôt;38 rue de la Paix;;14000;Caen;FR;true;
